"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-06 23:48:18 MST,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,"San Francisco, CA",# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,
data,https://data.sfgov.org/Geographic-Locations-and-Boundaries/Zoning-Districts/8br2-hhp3,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,
year,2017,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,,,
code,http://library.amlegal.com/nxt/gateway.dll/California/planning/planningcode?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$sync=1,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,
column,zoning,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,SPECIAL_USE_DISTRICTS,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,height,,,,,,,,,,,,,,,,,,,,,,,,
column,gen_hght,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,,
// San Francisco Height and Bulk Districts,,,,,,,,,,,,,,,,,,,,,,,,,
height,maxHeightFeet,,,,,,,,,,,,,,,,,,,,,,,,
// Actual zoning. No need to specify height limits here unless there is a height limit that overrides the height and bulk districts,,,,,,,,,,,,,,,,,,,,,,,,"# Some zones require rear yards ""at the lowest level containing a dwelling unit,"" which I guess means that ground-level retail can cover the whole lot as long as you put a park on top of it",
zoning,SPECIAL_USE_DISTRICTS,singleFamily,multiFamily,maxHeightFeet,minLotSizePerUnitSqFeet,maxUnitsPerLot,minLotSizeSqFeet,maxLotSizeSqFeet,minLotWidthFeet,maxLotWidthFeet,minLotDepthFeet,minFloorAreaPerUnitSqFeet,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerAcre,maxLotCoverage,maxFar,setbackFrontFeet,setbackFrontPercent,setbackSideFeet,setbackSidePercent,setbackRearFeet,demoControls,setbackRearPercent,note
C-2,,1,1,,,,2500,,25,,,,1,,inf,,3.6-10,0,,0,,15-inf,,25,
C-2,Telegraph Hill-NB Residential,1,1,,,,2500,,25,,,,0,0.5-0.75,inf,,3.6-10,0,,0,,15-inf,,25,
C-2,"Telegraph Hill-NB Residential,Waterfront 2",1,1,,,,2500,,25,,,,0,0.5-0.75,inf,,5,0,,0,,15-inf,,25,
C-2,"Telegraph Hill-NB Residential,Waterfront 3",1,1,,,,2500,,25,,,,0,0.5-0.75,inf,,5,0,,0,,15-inf,,25,
C-2,Waterfront 2,1,1,,,,2500,,25,,,,1,,inf,,5,0,,0,,15-inf,,25,
C-2,Waterfront 3,1,1,,,,2500,,25,,,,1,,inf,,5,0,,0,,15-inf,,25,
C-3-G,,1,1,,,,2500,,25,,,,0,0.5,inf,,6,0,,0,,15-inf,,25,
C-3-O,,1,1,,,,2500,,25,,,,0,0.5,inf,,9,0,,0,,15-inf,,25,
C-3-S,,1,1,,,,2500,,25,,,,0,0.5,inf,,5,0,,0,,15-inf,,25,
C-3-O(SD),,1,1,,,,2500,,25,,,,0,0.5,inf,,6,0,,0,,15-inf,,25,
C-3-R,,1,1,,,,2500,,25,,,,0,0.5,inf,,6,0,,0,,15-inf,,25,
CCB,,1,1,35,200,,2500,5000,25,,,,0,0.5,,75,2.8,0,,0,,0,,,
CRNC,,1,1,35,200,,2500,5000,25,,,,0,0.5,,75,1,0,,0,,0,,,
CVR,,1,1,35,200,,2500,5000,25,,,,0,0.5,,75,2,0,,0,,0,,,
M-1,,c,c,,800,,2500,,25,,,,0,0.5,,,5,0-15,0-15,0,,15-inf,,25,
M-2,,c,c,,800,,2500,,25,,,,0,0.5,,,5,0-15,0-15,0,,15-inf,,25,
MB-RA,,# Not represented in mission bay plan in code.,,,,,,,,,,,,,,,,,,,,,,,No MB-RA in mission bay plan in SF code ch. 9
MUG,,1,1,,,,2500,,25,,,,0,0.25,inf,,,0,,0,,15-inf,,25,
MUO,,1,1,,,,2500,,25,,,,0,0.25,inf,,,0-15,0-15,0,,15-inf,,25,
WMUO,,0,0,,,,2500,,25,,,,,,,,,0,,0,,0,,,
MUR,,1,1,,,,2500,,25,,,,0,0.25,inf,,,0,,0,,15-inf,,25,
NC-1,,1,1,,800,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near high density R districts
NC-2,,1,1,,800,,2500,9999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NC-3,,1,1,,600,,2500,9999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NC-S,,1,1,,800,,2500,,25,,,,1,,,,inf,0,,0,,0,,,No FAR limits for residential
NCD-24TH-NOE-VALLEY,,1,1,,600,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NCD-BROADWAY,,1,1,,400,,2500,4999,25,,,,0,0.5,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NCD-BROADWAY,Telegraph Hill-NB Residential,1,1,,400,,2500,4999,25,,,,0,0.5-0.75,,,inf,0,,0,,15-inf,,25,"No FAR limits for residential. Up to 0.5 cars listed in Section 151, up to 0.75 in section 249.49."
NCD-CASTRO,,1,1,,600,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-EXCELSIOR,,1,1,,600,,2500,9999,25,,,,0,1,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NCD-HAIGHT,,1,1,,600,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-INNER CLEMENT,,1,1,,600,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-INNER SUNSET,,1,1,,400,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NCD-IRVING,,1,1,,800,,2500,9999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near high density R districts.
NCD-JAPANTOWN,,1,1,,400,,2500,9999,25,,,,0,0.75,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-JUDAH,,1,1,,800,,2500,2499,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near high density R districts.
NCD-NORIEGA,,1,1,,800,,2500,9999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near high density R districts.
NCD-NORTH BEACH,,1,1,,400,,2500,2499,25,,,,0,0.5,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NCD-NORTH BEACH,Telegraph Hill-NB Residential,1,1,,400,,2500,2499,25,,,,0,0.5-0.75,,,inf,0,,0,,15-inf,,25,No FAR limits for residential
NCD-OUTER CLEMENT,,1,1,,600,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-PACIFIC,,1,1,,1000,,2500,2499,25,,,,0,,,,inf,0,,0,,,,45,No FAR limits for residential. Density may be higher near high density R districts.
NCD-POLK,,1,1,,400,,2500,2499,25,,,,0,"# Not clear, missing from table 151.1",,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near high density R districts.
NCD-SACRAMENTO,,1,1,,800,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-TARAVAL,,1,1,,800,,2500,9999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near high density R districts.
NCD-UNION,,1,1,,600,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-UPPER FILLMORE,,1,1,,600,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near heigh density R districts
NCD-WEST PORTAL,,1,1,,800,,2500,4999,25,,,,1,,,,inf,0,,0,,15-inf,,25,No FAR limits for residential. Density may be higher near high density R districts.
NCT-3,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,"Conditional use permit required for larger lots, and 2500 is the minimum for new lots, hence the max less than min situation"
NCT-24TH-MISSION,,1,1,,,,2500,4999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-DIVISADERO,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-FILLMORE,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-FOLSOM,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-GLEN PARK,,1,1,,,,2500,4999,25,,,,0,1,inf,,inf,0,,0,,15-inf,,25,
NCT-HAYES,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-MISSION,,1,1,,,,2500,9999,25,,,,0,0.5,inf,,inf,0,,0,,15-inf,,25,
NCT-OCEAN,,1,1,,,,2500,9999,25,,,,0,1,inf,,inf,0,,0,,15-inf,,25,
